plot,sec,tree,species,dbht0,cc,condt0,yeart0,xcoord,ycoord,zelev,elev0,markmanip,actualmanip,cond06,dam06,sprt06,notes1,notes06,dbh09,cond09,dam09,sprt09,notes09,hwa1b09,hwa2b09,dbh14,cond14,dam14,sprt14,vigor14,hwab114,hwab214,scale14,note14,dbh19,cond19,dam19,sprt19,vigor19,hwab119,hwab219,scale19,note19
1,C,541,TSCA,10.9,S,L,2003,52.4,36.8,0.54,50;40,girdle05,girdle05,L,NA,NA,shares base with 542 & 543,NA,10.8,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,542,TSCA,14,I,L,2003,52.4,36.8,0.54,50;40,girdle05,girdle05,L,NA,NA,shares base with 541 & 543,NA,14,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,543,TSCA,11.3,S,L,2003,52.4,36.8,0.54,50;40,girdle05,girdle05,L,NA,NA,shares base with 541 & 542,NA,11.4,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,544,TSCA,32.1,C,L,2003,51,43.9,-0.22,50;40,girdle05,girdle05,L,NA,NA,NA,NA,32.2,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,545,TSCA,53.3,D,L,2003,50.2,46,-0.58,50;40,girdle05,girdle05,L,NA,NA,NA,NA,54.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,546,TSCA,16.1,NA,D,2003,51.4,47.9,-0.84,50;40,girdle05,girdle05,D,SNAP,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,decaying,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,547,ACRU,25.6,C,L,2003,52.6,46.5,-0.59,50;40,none,none,L,NA,NA,NA,NA,27.1,L,NA,NA,NA,NA,NA,29.5,L,NA,NA,NA,NA,NA,NA,NA,32.5,L,NA,BASP,NA,NA,NA,NA,NA
1,C,548,TSCA,37.6,S,L,2003,54.1,46.9,-0.66,50;40,girdle05,girdle05,D,NA,NA,shares base with 549,NA,37.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,549,TSCA,17.8,NA,D,2003,54.1,46.9,-0.66,50;40,girdle05,none,D,NA,NA,shares base with 548,NOT GIRDLED,NA,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,SNAP,NA,5,NA,NA,NA,STANDING
1,C,550,TSCA,18.7,S,L,2003,57.2,46.9,-0.71,50;40,girdle05,girdle05,L,NA,NA,NA,NA,18.8,D,NA,NA,NA,NA,NA,NA,D,UPRT,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,551,TSCA,21.1,S,L,2003,52.6,48.6,-0.93,50;40,girdle05,girdle05,L,NA,NA,shares base with 552,NA,21.4,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,552,TSCA,30.6,C,L,2003,52.6,48.6,-0.93,50;40,girdle05,girdle05,L,NA,NA,shares base with 551,NA,30.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,553,TSCA,56.7,D,L,2003,55.3,42.7,0.08,50;40,girdle05,girdle05,L,NA,NA,NA,NA,58.7,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,554,TSCA,35.5,C,L,2003,56.7,44.4,-0.18,50;40,girdle05,girdle05,L,NA,NA,NA,NA,37.3,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,fallen
1,C,555,TSCA,28.5,S,L,2003,57.4,43.1,0.2,50;40,girdle05,girdle05,L,NA,NA,NA,NA,28.7,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,fallen
1,C,556,TSCA,19.2,NA,D,2003,58.2,51.3,-1.64,50;40,girdle05,none,D,SNAP,NA,NA,NOT GIRDLED; NO CROWN,NA,D,SNAP,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,557,PIST,11.9,NA,D,2003,59.9,52.6,-2.13,50;40,none,none,D,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,standing,NA,D,NA,NA,NA,NA,NA,NA,STANDING
1,C,558,TSCA,5.7,NA,D,2003,59.1,54.1,-2.15,50;40,girdle05,girdle05,D,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,559,TSCA,17.4,C,L,2003,55,53.1,-1.67,50;40,girdle05,girdle05,L,NA,NA,NA,NA,18.1,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,560,TSCA,19.7,C,L,2003,53.5,53.5,-1.59,50;40,girdle05,girdle05,L,SNAP,NA,NA,ROLLED .5M FROM BASE,20.1,D,SNAP,NA,ROLLED 0.5M FROM BASE,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,561,TSCA,7.5,S,L,2003,50.6,52,-1.44,50;40,girdle05,girdle05,D,NA,NA,NA,NA,7.5,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,562,TSCA,18.2,I,L,2003,51,55.4,-1.58,50;40,girdle05,girdle05,L,NA,NA,NA,NA,18.8,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,563,PIST,50.6,D,L,2003,51,54,-1.49,50;40,none,none,L,NA,NA,bent,NA,55.7,L,NA,NA,NA,NA,NA,59.8,L,NA,NA,NA,NA,NA,NA,NA,61.9,L,BENT,NA,NA,NA,NA,NA,NA
1,C,564,TSCA,16.8,S,L,2003,52.5,55.8,-1.8,50;40,girdle05,girdle05,D,NA,NA,NA,NA,16.8,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,top snap,NA,D,SNAP,NA,5,NA,NA,NA,STANDING
1,C,565,TSCA,20,S,L,2003,51.3,58,-2.31,50;40,girdle05,girdle05,L,NA,NA,NA,NA,20.2,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,snag,NA,D,NA,NA,5,NA,NA,NA,STANDIING
1,C,566,TSCA,13.9,S,L,2003,52.5,57.8,-2.52,50;40,girdle05,girdle05,L,NA,NA,shares base with 567,NA,13.9,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,SNAP,NA,5,NA,NA,NA,fallen
1,C,567,TSCA,16.3,S,L,2003,52.5,57.8,-2.52,50;40,girdle05,girdle05,L,NA,NA,shares base with 566,NA,16.7,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,SNAP,NA,5,NA,NA,NA,fallen
1,C,568,TSCA,8.9,S,L,2003,54.2,57.9,-2.53,50;40,girdle05,girdle05,D,SNAP,NA,NA,NA,8.5,D,SNAP,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,569,TSCA,13.5,I,L,2003,56,56,-2.26,50;40,girdle05,none,D,NA,NA,shares base with 570,NOT GIRDLED,13.6,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,570,TSCA,9.1,NA,D,2003,56,56,-2.26,50;40,girdle05,girdle05,L,NA,NA,shares base with 569,NA,9.4,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,snag,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,571,TSCA,14.5,I,L,2003,57.5,58,-2.97,50;40,girdle05,girdle05,L,NA,NA,NA,NA,14.8,D,SNAP,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,572,PIST,14.7,I,L,2003,57.3,56.4,-2.31,50;40,none,none,L,NA,NA,NA,NA,16,L,NA,NA,NA,NA,NA,18,L,NA,NA,NA,NA,NA,NA,NA,18.8,L,NA,NA,NA,NA,NA,NA,DYING
1,C,573,TSCA,12.8,S,L,2003,59.9,56.7,-3.07,50;40,girdle05,girdle05,L,NA,NA,NA,NA,13,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,574,BELE,7,S,L,2003,45.9,53.4,-1.83,50;40,none,none,L,NA,NA,NA,NA,9.3,L,NA,NA,NA,NA,NA,13,L,NA,NA,NA,NA,NA,NA,NA,16.7,L,NA,NA,NA,NA,NA,NA,TAG REPLACED
1,C,575,QUAL,23.1,C,L,2003,44.5,52.9,-1.96,50;40,none,none,L,NA,NA,NA,NA,23.5,L,NA,NA,NA,NA,NA,24.7,L,NA,NA,NA,NA,NA,NA,NA,25.3,L,NA,NA,NA,NA,NA,NA,NA
1,C,576,TSCA,28.7,C,L,2003,43,52.1,-2.17,50;40,girdle05,girdle05,L,NA,NA,shares base with 577,NA,29.1,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,fallen
1,C,577,TSCA,27.7,C,L,2003,43,52.1,-2.17,50;40,girdle05,girdle05,D,NA,NA,shares base with 576,NA,28.2,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,fallen
